Date,Open,High,Low,Close,Adj Close,Volume
23-02-2022,2401.100098,2406.550049,2368,2374.050049,2366.923828,3373615
24-02-2022,2305,2339.899902,2243.399902,2255.75,2248.979004,11466725
25-02-2022,2280.100098,2307.949951,2276.25,2283.949951,2277.094238,6724094
28-02-2022,2243,2367.350098,2243,2359.550049,2352.467529,9828768
02-03-2022,2334.449951,2401,2329.199951,2398.550049,2391.350342,9909226
03-03-2022,2400,2414.850098,2370.050049,2378.300049,2371.161133,4701183
04-03-2022,2353,2364.300049,2320.350098,2325.550049,2318.56958,4986814
07-03-2022,2278.699951,2312.100098,2222,2239.550049,2232.827637,8299295
08-03-2022,2211.5,2246,2180,2235.5,2228.789795,9825043
09-03-2022,2236,2367,2234.149902,2354.100098,2347.033936,9421163
10-03-2022,2400,2405,2360,2392.25,2385.069092,8297995
11-03-2022,2376.050049,2411,2376.050049,2399.149902,2391.948486,5656799
14-03-2022,2386.899902,2424.399902,2374,2418.850098,2411.589355,3849222
15-03-2022,2427.949951,2427.949951,2340.850098,2363.449951,2356.355713,7349740
16-03-2022,2382,2407.899902,2377.100098,2403.350098,2396.135986,5145644
17-03-2022,2432.75,2497.399902,2415.100098,2481.699951,2474.250732,9886295
21-03-2022,2444,2484,2439,2467.399902,2459.993652,5537752
22-03-2022,2460.100098,2534.949951,2453.600098,2531.149902,2523.552246,10410082
23-03-2022,2523,2564.850098,2523,2539.199951,2531.578125,7135797
24-03-2022,2510,2584.149902,2510,2578.649902,2570.909668,6077153
25-03-2022,2582.5,2616,2577,2595.850098,2588.058105,6563676
28-03-2022,2610,2629.75,2586.5,2621.949951,2614.07959,4564891
29-03-2022,2638,2638,2607.399902,2622.550049,2614.677979,4007695
30-03-2022,2639.899902,2688,2617.100098,2672.949951,2664.926514,7297028
31-03-2022,2664.949951,2669.699951,2628.600098,2634.75,2626.841309,6102744
01-04-2022,2636,2665.149902,2622,2655.850098,2647.878174,3656408
04-04-2022,2655.449951,2675,2641.649902,2663.699951,2655.704346,3659307
05-04-2022,2651.100098,2669.899902,2620.699951,2626.050049,2618.16748,6068663
06-04-2022,2587.100098,2634.5,2587.100098,2619.050049,2611.188477,5656703
07-04-2022,2595.100098,2606,2567,2572.850098,2565.127197,7151632
08-04-2022,2560,2625,2560,2615.649902,2607.798584,6992874
11-04-2022,2600,2638.550049,2583,2610.199951,2602.36499,4270816
12-04-2022,2587,2602.600098,2555.399902,2561.050049,2553.362549,6099986
13-04-2022,2574.5,2592.600098,2545.5,2551.649902,2543.990723,4778478
18-04-2022,2533,2559.800049,2521.800049,2543.850098,2536.214355,4603103
19-04-2022,2558,2668,2551.050049,2640.800049,2632.873291,12064446
20-04-2022,2657.100098,2734,2649.100098,2718.449951,2710.290039,11570835
21-04-2022,2750.899902,2789,2732,2782.100098,2773.749023,10018531
22-04-2022,2758.899902,2802,2744.199951,2758.800049,2750.519043,6947490
25-04-2022,2742.399902,2758.399902,2663.649902,2695,2686.9104,7874671
26-04-2022,2710,2795,2707.699951,2775.649902,2767.318359,5643066
27-04-2022,2755.850098,2828,2755.050049,2778.350098,2770.010254,8924920
28-04-2022,2809.949951,2851,2786.100098,2819.850098,2811.385742,11820892
29-04-2022,2856.149902,2856.149902,2777.300049,2790.25,2781.874512,8406156
02-05-2022,2762,2805.5,2758.050049,2780.449951,2772.104004,4369022
04-05-2022,2785,2790,2676.300049,2693.649902,2685.564453,8882792
05-05-2022,2723.5,2730,2632,2640.899902,2632.972656,7942721
06-05-2022,2612.199951,2659,2593.550049,2620.649902,2612.783447,9068448
09-05-2022,2574.949951,2597.100098,2507,2518.300049,2510.740967,8345649
10-05-2022,2495,2526.600098,2458,2474.649902,2467.22168,9004636
11-05-2022,2472.649902,2484.949951,2421.949951,2449.300049,2441.947998,7681157
12-05-2022,2427.5,2434.850098,2370,2399.399902,2392.197754,9456280
13-05-2022,2426,2478,2415.350098,2426.600098,2419.316162,8910998
16-05-2022,2434.449951,2481,2416.649902,2427.199951,2419.914307,6201594
17-05-2022,2435.100098,2539.899902,2432,2529.149902,2521.558105,7638666
18-05-2022,2539.649902,2570,2508.25,2538.350098,2530.730713,7973235
19-05-2022,2484,2512.5,2466.050049,2479.850098,2472.40625,6783641
20-05-2022,2512.5,2644.399902,2502,2624.449951,2616.572266,10057508
23-05-2022,2631.5,2653.550049,2593,2606.899902,2599.074707,7039144
24-05-2022,2607,2638,2597.699951,2615.850098,2607.998047,6243086
25-05-2022,2635,2656.699951,2601.5,2612,2604.159668,5867760
26-05-2022,2624.399902,2634.899902,2548,2587.100098,2579.334473,8252551
27-05-2022,2593.050049,2605.149902,2540.100098,2575.100098,2567.370361,7624888
30-05-2022,2615,2674,2594.199951,2664.800049,2656.801025,6393341
31-05-2022,2641.399902,2678.800049,2615.699951,2632.649902,2624.747559,32591420
01-06-2022,2634.300049,2655.199951,2616.199951,2633.5,2625.594971,4512079
02-06-2022,2634,2732.449951,2634,2724.300049,2716.122559,10211408
03-06-2022,2744,2817.350098,2742,2779.5,2771.156738,11048210
06-06-2022,2780,2814,2751.800049,2767.550049,2759.242676,5119488
07-06-2022,2769.899902,2791.100098,2752.050049,2772.75,2764.427002,5703333
08-06-2022,2772.75,2781,2716.300049,2724.050049,2715.873291,5759172
09-06-2022,2710,2803,2710,2798.75,2790.349121,7973935
10-06-2022,2771.899902,2789.899902,2701.5,2714.25,2706.102783,8349943
13-06-2022,2650,2672.800049,2616.300049,2662.899902,2654.906738,8131998
14-06-2022,2650.050049,2671.850098,2613.449951,2628.100098,2620.211426,6790653
15-06-2022,2617.550049,2637.300049,2584.399902,2596.300049,2588.506836,5166738
16-06-2022,2623,2659.050049,2554,2560,2552.315674,7896943
17-06-2022,2560,2624.850098,2556.100098,2590,2582.225586,11286988
20-06-2022,2605,2617.100098,2521.100098,2543.050049,2535.416504,5568825
21-06-2022,2560,2593.399902,2528.300049,2584.100098,2576.343506,5408801
22-06-2022,2558.100098,2558.300049,2501,2505.600098,2498.079102,4899839
23-06-2022,2515.050049,2525,2445,2464.949951,2457.551025,8974475
24-06-2022,2480,2511,2468,2500.050049,2492.545654,6571866
27-06-2022,2544.949951,2544.949951,2481.550049,2492.649902,2485.167725,7141493
28-06-2022,2482.100098,2533.949951,2482.100098,2527.699951,2520.112549,6263867
29-06-2022,2507.199951,2597,2501,2580.149902,2572.405029,8863172
30-06-2022,2580,2615.899902,2566,2595.649902,2587.858643,10666627
01-07-2022,2574.899902,2592,2365,2408.699951,2401.469727,37841671
04-07-2022,2378.949951,2442,2366.100098,2413.699951,2406.454834,19317335
05-07-2022,2423,2464.899902,2417.100098,2433.25,2425.946045,8144239
06-07-2022,2420.100098,2441.949951,2388,2411.850098,2404.610352,11050026
07-07-2022,2425.899902,2433.25,2375,2388.100098,2380.931641,10753423
08-07-2022,2418,2418,2382.550049,2391.399902,2384.22168,8773162
11-07-2022,2376.5,2428.800049,2370,2423.899902,2416.624023,6390604
12-07-2022,2404,2439.699951,2404,2420.449951,2413.18457,4974502
13-07-2022,2427.300049,2434,2373,2377.550049,2370.41333,6564435
14-07-2022,2388,2433.949951,2376.949951,2397.149902,2389.954346,7831798
15-07-2022,2415,2415,2383.100098,2401.800049,2394.590576,4431880
18-07-2022,2421,2425,2392.300049,2422.25,2414.979248,6996757
19-07-2022,2400.300049,2447,2400.300049,2437.100098,2429.784668,7587006
20-07-2022,2540,2542.5,2486.25,2503,2495.486816,11041036
21-07-2022,2494,2500,2467.300049,2486.300049,2478.836914,7625468
22-07-2022,2500,2516.300049,2495,2503.100098,2495.58667,5062651
25-07-2022,2467.449951,2467.449951,2403,2420.399902,2413.134521,10665470
26-07-2022,2421.100098,2443.899902,2411.350098,2421.5,2414.231445,5216466
27-07-2022,2419.949951,2427,2402,2419.199951,2411.938232,3994321
28-07-2022,2436,2467.949951,2421,2457.100098,2449.724609,5766936
29-07-2022,2474.699951,2517.100098,2464,2509.449951,2501.91748,6982808
01-08-2022,2519.149902,2587.75,2507.600098,2574.850098,2567.121094,7245568
02-08-2022,2572.5,2607.800049,2561.550049,2584.649902,2576.891602,6423115
03-08-2022,2600,2610,2567.449951,2606.350098,2598.526611,6576824
04-08-2022,2610,2617.75,2535,2571.899902,2564.179932,6676577
05-08-2022,2576,2578.800049,2526.949951,2534,2526.393799,6434433
08-08-2022,2531,2583.550049,2531,2567.149902,2559.444092,4691228
10-08-2022,2576.899902,2589.899902,2557.050049,2582.5,2574.748047,4949442
11-08-2022,2603.100098,2609.899902,2580.199951,2591.100098,2583.32251,3783480
12-08-2022,2590.300049,2641.350098,2582.199951,2633,2625.096436,5838244
16-08-2022,2646.199951,2657.300049,2627.300049,2651.300049,2643.341553,3049304
17-08-2022,2665,2676.899902,2655.550049,2665.149902,2657.149902,3044037
18-08-2022,2660,2669,2640.199951,2661.300049,2661.300049,3419730
19-08-2022,2650,2661.699951,2604.949951,2613.850098,2613.850098,4366123
22-08-2022,2617,2631.300049,2586,2606.600098,2606.600098,4371179
23-08-2022,2594,2653.199951,2591.350098,2646.800049,2646.800049,4466619
24-08-2022,2640.100098,2670,2635.350098,2639.75,2639.75,4785579
25-08-2022,2648.949951,2662.899902,2622.600098,2632.050049,2632.050049,3632902
26-08-2022,2633,2650,2607,2618,2618,4957449
29-08-2022,2585,2655,2578.050049,2597.649902,2597.649902,9155684
30-08-2022,2614,2645.25,2576.600098,2637.949951,2637.949951,10678670
01-09-2022,2582.649902,2604.949951,2550.699951,2560.399902,2560.399902,9188434
02-09-2022,2560.399902,2575.350098,2525.699951,2530.5,2530.5,5999196
05-09-2022,2531,2581.5,2531,2569.800049,2569.800049,5227785
06-09-2022,2573,2606,2572,2596.850098,2596.850098,5030172
07-09-2022,2575,2594.899902,2570,2581.75,2581.75,3455942
08-09-2022,2588.25,2598,2571,2585.399902,2585.399902,3256840
09-09-2022,2610,2610,2564,2569.300049,2569.300049,3837302
12-09-2022,2570.550049,2612,2570.550049,2598.050049,2598.050049,3431445
13-09-2022,2618,2629.699951,2601,2619.75,2619.75,4102114
14-09-2022,2575,2610,2572.75,2588.350098,2588.350098,4004997
15-09-2022,2583,2603.550049,2556.75,2562.699951,2562.699951,4783723
16-09-2022,2543.75,2553,2491,2499.199951,2499.199951,9330469
19-09-2022,2499.199951,2522.699951,2481.350098,2502.449951,2502.449951,3498286
20-09-2022,2522.449951,2537.699951,2494.699951,2502.850098,2502.850098,3881882
21-09-2022,2496.75,2533,2495,2509.75,2509.75,4249172
22-09-2022,2486,2503,2472.100098,2486.100098,2486.100098,4757219
23-09-2022,2485,2495.949951,2436.100098,2439.5,2439.5,4397194
26-09-2022,2394.050049,2417.800049,2375.149902,2377.350098,2377.350098,5759298
27-09-2022,2394,2426,2360.100098,2396.25,2396.25,7455448
28-09-2022,2360.350098,2378,2327.100098,2332.449951,2332.449951,7844140
29-09-2022,2360,2367.5,2313,2325.300049,2325.300049,6771046
30-09-2022,2311,2402,2311,2377.75,2377.75,8589908
03-10-2022,2391.5,2416.949951,2363,2369.5,2369.5,5470030
04-10-2022,2397.800049,2418,2390.149902,2413.199951,2413.199951,4129893
06-10-2022,2429,2450,2418.149902,2422.100098,2422.100098,6162021
07-10-2022,2414.649902,2443.899902,2414.649902,2432.350098,2432.350098,3560167
10-10-2022,2405,2417.600098,2388,2405.800049,2405.800049,2921076
11-10-2022,2414,2414,2351.100098,2357.899902,2357.899902,4252803
12-10-2022,2352,2381.699951,2343.100098,2375.25,2375.25,3422992
13-10-2022,2371.399902,2394,2360.100098,2382.800049,2382.800049,3382098
14-10-2022,2415,2416.350098,2369.100098,2370.699951,2370.699951,4202459
17-10-2022,2355,2414,2343.600098,2408.75,2408.75,7720595
18-10-2022,2422,2463,2420.149902,2451.25,2451.25,5729899
19-10-2022,2454.5,2527.850098,2441.699951,2493.899902,2493.899902,8882553
20-10-2022,2485,2519,2485,2500.600098,2500.600098,4022919
21-10-2022,2507.699951,2516.800049,2467,2471.600098,2471.600098,3804352
24-10-2022,2460,2502.5,2455.300049,2479.850098,2479.850098,1555270
25-10-2022,2499,2499,2438,2441.550049,2441.550049,5645639
27-10-2022,2458,2468.449951,2432.800049,2451.149902,2451.149902,5774775
28-10-2022,2465,2535,2459.449951,2526.149902,2526.149902,8126824
31-10-2022,2541,2560.949951,2532.199951,2549.600098,2549.600098,5731802
01-11-2022,2600,2600,2508,2529.850098,2529.850098,6443999
02-11-2022,2532.300049,2550.199951,2515,2545.649902,2545.649902,4145144
03-11-2022,2529.850098,2559.550049,2525.050049,2555.149902,2555.149902,3089026
04-11-2022,2553.899902,2600,2551.100098,2592.75,2592.75,5803737
07-11-2022,2591,2610.300049,2574,2606.600098,2606.600098,5440967
09-11-2022,2610.300049,2621.949951,2590.050049,2604,2604,5193814
10-11-2022,2590,2596.550049,2563,2572.5,2572.5,2753420
11-11-2022,2600,2636,2588,2631.800049,2631.800049,5681124
14-11-2022,2630.75,2642,2605.149902,2619.050049,2619.050049,4173395
15-11-2022,2622.300049,2626.399902,2590,2607.300049,2607.300049,3270388
16-11-2022,2610,2615.949951,2581.350098,2592.350098,2592.350098,4484007
17-11-2022,2584.949951,2613,2580,2599.050049,2599.050049,3074259
18-11-2022,2606.75,2609,2571.100098,2597.649902,2597.649902,2447425
21-11-2022,2588,2588,2543.100098,2550.899902,2550.899902,2949108
22-11-2022,2545,2568.5,2536.5,2565.050049,2565.050049,3051201
23-11-2022,2575,2577.899902,2552.25,2557.050049,2557.050049,2959787
24-11-2022,2566,2594,2548.199951,2579.100098,2579.100098,4333225
25-11-2022,2589,2624.899902,2582.100098,2617.600098,2617.600098,3391988
28-11-2022,2608.899902,2721.050049,2502,2707.550049,2707.550049,14549929
29-11-2022,2703.949951,2731.649902,2694,2712.199951,2712.199951,5103687
30-11-2022,2712.5,2745.449951,2698.199951,2731.350098,2731.350098,12075137
01-12-2022,2741.800049,2755,2716,2723.300049,2723.300049,4377696
02-12-2022,2730,2748,2700.600098,2722.149902,2722.149902,5348595
05-12-2022,2712,2716.75,2678,2682.449951,2682.449951,6843367
06-12-2022,2665.100098,2697,2661,2690.199951,2690.199951,3966243
07-12-2022,2685,2695,2642.149902,2650.5,2650.5,3905263
08-12-2022,2660,2665,2640.100098,2649.25,2649.25,3579858
09-12-2022,2646,2660,2601.850098,2609.100098,2609.100098,5840633
12-12-2022,2585.5,2623,2585,2613.100098,2613.100098,4374946
13-12-2022,2613.100098,2633,2606.699951,2625,2625,3845839
14-12-2022,2637.649902,2638.949951,2611,2615.5,2615.5,3354618
15-12-2022,2602.5,2615,2571,2578.350098,2578.350098,4009765
16-12-2022,2571,2618.800049,2558.149902,2565.600098,2565.600098,7308934
19-12-2022,2581,2604,2566.699951,2599.300049,2599.300049,3567363
20-12-2022,2583.899902,2626,2566,2621.800049,2621.800049,3446291
21-12-2022,2621,2633,2576.100098,2584.5,2584.5,3935463
22-12-2022,2598,2604.649902,2566.75,2577.800049,2577.800049,3438692
23-12-2022,2563.300049,2590.5,2492.25,2502.199951,2502.199951,4733657
26-12-2022,2514.75,2542,2492.399902,2524.050049,2524.050049,2764496
27-12-2022,2530,2548.800049,2515.25,2544.699951,2544.699951,2659749
28-12-2022,2538,2549.800049,2521.5,2544.449951,2544.449951,3442509
29-12-2022,2527,2548.899902,2525.5,2543.300049,2543.300049,3198493
30-12-2022,2545.100098,2577,2541.100098,2547.199951,2547.199951,3364092
02-01-2023,2550,2579,2548.199951,2575.899902,2575.899902,2453414
03-01-2023,2565.050049,2573,2547.800049,2557.050049,2557.050049,3534596
04-01-2023,2557,2561.050049,2514,2518.550049,2518.550049,4275746
05-01-2023,2523.5,2536.399902,2504,2514.050049,2514.050049,6293519
06-01-2023,2526.649902,2547.949951,2518.300049,2536.899902,2536.899902,2930338
09-01-2023,2545.300049,2602,2543.350098,2596.800049,2596.800049,4948549
10-01-2023,2606,2606,2546,2558.399902,2558.399902,3713755
11-01-2023,2552.5,2558,2521.100098,2526.149902,2526.149902,5311657
12-01-2023,2524.850098,2532.5,2465,2471.600098,2471.600098,8163366
13-01-2023,2458.399902,2472.899902,2434.600098,2467.600098,2467.600098,9515473
16-01-2023,2472.699951,2479.649902,2427,2444.100098,2444.100098,6287407
17-01-2023,2458,2483,2450.600098,2478.800049,2478.800049,4961585
18-01-2023,2473.5,2491.100098,2460.350098,2474.699951,2474.699951,6206382
19-01-2023,2472.899902,2481.149902,2456.649902,2472.050049,2472.050049,5510333
20-01-2023,2475,2475,2437.25,2442.649902,2442.649902,6890325
23-01-2023,2449,2466.199951,2425,2430.300049,2430.300049,5055324
24-01-2023,2440,2443.649902,2387.350098,2415.949951,2415.949951,7609558
25-01-2023,2412.449951,2414.699951,2380,2382.550049,2382.550049,5715684
27-01-2023,2384.399902,2387.350098,2311.649902,2337.350098,2337.350098,11920991
30-01-2023,2331.699951,2371.899902,2301,2359.75,2359.75,10047822
31-01-2023,2382,2387.649902,2341,2353.850098,2353.850098,10472167
01-02-2023,2379.949951,2379.949951,2305,2339.899902,2339.899902,8929007
02-02-2023,2318,2348,2311,2326.949951,2326.949951,6305317
03-02-2023,2349,2349,2293,2329,2329,11398850
06-02-2023,2315,2321,2305.800049,2311.449951,2311.449951,6847679
07-02-2023,2312,2327.399902,2293,2305.899902,2305.899902,6985001
08-02-2023,2313,2359.899902,2307,2351.949951,2351.949951,9765490
09-02-2023,2353.449951,2370.850098,2334,2356.050049,2356.050049,6079228
10-02-2023,2354.899902,2354.899902,2321.300049,2336.649902,2336.649902,4979789
13-02-2023,2340.199951,2350,2313.550049,2323.350098,2323.350098,4777674
14-02-2023,2329.949951,2381.899902,2323.649902,2378.100098,2378.100098,6609564
15-02-2023,2376,2437.199951,2373,2431.949951,2431.949951,15461902
16-02-2023,2449.449951,2463.800049,2425.050049,2430.050049,2430.050049,7967558
17-02-2023,2420,2447.5,2410.600098,2440.199951,2440.199951,5450092
20-02-2023,2445,2449.75,2410.100098,2414.399902,2414.399902,4078245
21-02-2023,2424,2446.800049,2412.350098,2434.100098,2434.100098,6143298
22-02-2023,2425.949951,2430,2375.050049,2378.899902,2378.899902,5087729
23-02-2023,2378,2394.75,2361.350098,2385.800049,2385.800049,2147650
